Event Time,Segment,City,State,Region,Category,Product,Sales,Quantity,Discount,Profit
2025/12/4,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,3,0,68.976
2025/12/4,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,0,218.2518
2025/7/24,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,7,0,20.1579
2024/11/4,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,4,0.2,12.9096
2024/10/22,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0,103.8015
2024/10/22,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0,5.9988
2024/10/22,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0,585.552
2023/10/15,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0,80.6285
2024/9/18,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.766
2024/9/18,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.184,2,0.2,15.2388
2023/12/5,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,0,26.271
2025/5/6,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,0,48.5392
2024/5/2,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,0,21.0288
2025/10/29,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,0,1.7901
2025/10/29,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764
2025/5/14,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,0,6.8714
2025/5/14,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0,236.2325
2025/5/14,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0,2.691
2023/5/20,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,0.2,1.3596
2025/5/11,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,0,13.348
2025/5/11,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.688
2025/5/11,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,0.2,2.7324
2025/5/11,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.952,8,0.4,-1359.992
2025/5/11,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347
2025/5/11,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.858
2025/5/11,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,6,0.2,6.8136
2025/5/11,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849
2025/5/11,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,3,0.2,8.9985
2025/5/11,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,3,0,9.8418
2024/10/30,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,2,0,53.2608
2023/3/22,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,7,0.2,21.259
2025/2/11,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12
2025/2/11,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,4,0.2,6.552
2025/2/11,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16
2024/2/27,Consumer,Newark,Ohio,East,Furniture,Chairs,396.802,7,0.3,-11.3372
2025/5/8,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715
2025/5/8,Home Office,New York City,New York,East,Office Supplies,Art,3.28,1,0,1.4104
2024/8/18,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,2,0.2,1.8612
2024/5/22,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,7,0.2,76.6395
2025/9/11,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,4,0,131.0296
2025/9/11,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,5,0,41.986
2025/6/19,Home Office,Monroe,Louisiana,South,Technology,Accessories,29,2,0,7.25
2022/9/13,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2,0,3.4368
2022/9/13,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,0,22.984
2022/9/13,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224,3,0.2,3.7224
2022/11/7,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,3,0.2,6.255
2022/11/7,Home Office,New York City,New York,East,Furniture,Bookcases,899.136,4,0.2,112.392
2023/5/12,Home Office,New York City,New York,East,Technology,Phones,71.76,6,0,20.0928
2022/12/26,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,8,0,24.8832
2022/12/26,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,3,0.2,46.9764
2022/12/26,Home Office,New York City,New York,East,Office Supplies,Art,19.9,5,0,6.567
2022/12/26,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,7,0,6.7116
2022/12/26,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.408,2,0.2,1.2038
2022/12/26,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.048,3,0.2,1.5876
2023/3/7,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,3,0,12.0276
2023/3/7,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,2,0.7,-2.2586
2025/5/13,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.056,3,0.2,5.8203
2024/6/19,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,3,0.2,6.795
2022/2/1,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2,0.5,-161.875
2022/2/1,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,1,0.2,0.2925
2023/1/3,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668
2025/4/29,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,7,0.2,9.6712
2025/5/22,Consumer,Whittier,California,West,Technology,Phones,444.768,4,0.2,44.4768
2025/5/22,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,4,0,5.8744
2024/11/29,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,2,0,35.6346
2024/11/29,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,4,0,7.4824
2023/3/26,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,9,0,16.2099
2023/3/26,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,1,0,3.6796
2024/4/10,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,2,0.2,6.5
2024/4/10,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,2,0.2,8.88
2024/8/5,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,5,0.5,-244.323
2024/8/5,Corporate,Medina,Ohio,East,Technology,Phones,62.982,3,0.4,-14.6958
2024/8/5,Corporate,Medina,Ohio,East,Technology,Machines,1188,9,0.7,-950.4
2024/10/26,Corporate,Medina,Ohio,East,Technology,Accessories,89.584,2,0.2,4.4792
2024/10/26,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,6,0,26.0568
2024/10/26,Consumer,Los Angeles,California,West,Technology,Phones,302.376,3,0.2,22.6782
2024/10/26,Consumer,Dublin,Ohio,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148
2022/1/30,Consumer,Dublin,Ohio,East,Office Supplies,Paper,22.704,6,0.2,8.2302
2022/1/30,Consumer,Dublin,Ohio,East,Office Supplies,Binders,19.776,4,0.7,-13.8432
2022/1/30,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.704,4,0.2,19.0848
2022/1/30,Consumer,Dublin,Ohio,East,Technology,Machines,479.988,4,0.7,-383.9904
2022/1/30,Consumer,Dublin,Ohio,East,Office Supplies,Art,27.168,2,0.2,2.7168
2022/1/30,Corporate,Detroit,Michigan,Central,Office Supplies,Art,2.2,1,0,0.968
2022/1/30,Corporate,Detroit,Michigan,Central,Furniture,Tables,622.45,5,0,136.939
2022/1/30,Corporate,Detroit,Michigan,Central,Office Supplies,Storage,21.98,1,0,0.2198
2024/11/9,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.568,2,0.2,-28.2744
2024/11/9,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.696,8,0.2,43.8408
2022/9/19,Corporate,Charlotte,North Carolina,South,Office Supplies,Binders,18.648,7,0.7,-12.432
2022/9/19,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,2,0.45,-102.048
2025/7/21,Home Office,Tampa,Florida,South,Furniture,Tables,620.6145,3,0.45,-248.2458
2025/7/21,Home Office,Tampa,Florida,South,Office Supplies,Binders,5.328,2,0.7,-3.552
2025/7/21,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.072,3,0.2,0
2022/3/22,Home Office,Tampa,Florida,South,Technology,Accessories,617.976,3,0.2,-7.7247
2022/12/17,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,2,0,4.752
2024/11/15,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,25.92,5,0.2,9.396
2024/2/1,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,5,0.6,-356.728
2024/11/11,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752
2025/8/5,Consumer,Chicago,Illinois,Central,Technology,Phones,31.984,2,0.2,11.1944
2024/7/3,Consumer,Chicago,Illinois,Central,Furniture,Tables,177.225,5,0.5,-120.513
2024/7/3,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308
2024/12/9,Consumer,Chicago,Illinois,Central,Office Supplies,Art,7.408,2,0.2,1.2038
2023/7/19,Home Office,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,7,0,580.5394
2023/7/19,Home Office,Lakeville,Minnesota,Central,Office Supplies,Storage,166.72,2,0,41.68
2022/10/3,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,47.88,6,0,23.94
2022/10/3,Home Office,Lakeville,Minnesota,Central,Office Supplies,Appliances,1503.25,5,0,496.0725
2024/10/4,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,25.92,4,0,12.4416
2024/10/4,Consumer,San Francisco,California,West,Furniture,Chairs,321.568,2,0.2,28.1372
2024/10/4,Consumer,San Diego,California,West,Office Supplies,Paper,7.61,1,0,3.5767
2023/1/16,Consumer,San Diego,California,West,Technology,Accessories,3347.37,13,0,636.0003
2025/10/5,Consumer,New York City,New York,East,Office Supplies,Storage,80.58,6,0,22.5624
2025/10/5,Consumer,New York City,New York,East,Office Supplies,Envelopes,361.92,4,0,162.864
2024/3/4,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,12.132,9,0.6,-8.4924
2024/3/4,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,82.368,2,0.2,-19.5624
2023/5/10,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,53.92,5,0.2,4.044
2025/4/20,Corporate,Chicago,Illinois,Central,Technology,Phones,647.904,6,0.2,56.6916
2025/4/20,Consumer,New York City,New York,East,Technology,Accessories,20.37,3,0,6.9258
2023/3/28,Consumer,New York City,New York,East,Office Supplies,Storage,221.55,3,0,6.6465
2023/3/28,Consumer,New York City,New York,East,Office Supplies,Binders,17.52,5,0.2,6.132
2024/12/30,Corporate,Pasadena,Texas,Central,Office Supplies,Appliances,1.624,2,0.8,-4.466
2024/12/30,Corporate,Houston,Texas,Central,Technology,Machines,3059.982,3,0.4,-509.997
2024/12/30,Corporate,Houston,Texas,Central,Technology,Machines,2519.958,7,0.4,-251.9958
2024/12/30,Consumer,Chicago,Illinois,Central,Technology,Phones,328.224,4,0.2,28.7196
2024/9/13,Consumer,Brentwood,California,West,Technology,Accessories,79.9,2,0,35.156
2024/9/13,Corporate,Chapel Hill,North Carolina,South,Office Supplies,Art,14.016,3,0.2,4.7304
2022/8/10,Consumer,Morristown,New Jersey,East,Office Supplies,Fasteners,7.56,6,0,0.3024
2025/3/25,Corporate,Cincinnati,Ohio,East,Office Supplies,Storage,37.208,1,0.2,-7.4416
2023/5/28,Corporate,Cincinnati,Ohio,East,Office Supplies,Envelopes,57.576,3,0.2,21.591
2024/7/22,Corporate,San Francisco,California,West,Office Supplies,Storage,725.84,4,0,210.4936
2025/10/14,Consumer,San Francisco,California,West,Technology,Accessories,209.93,7,0,92.3692
2025/10/14,Consumer,San Francisco,California,West,Furniture,Furnishings,5.28,3,0,2.3232
2025/12/1,Consumer,San Francisco,California,West,Office Supplies,Binders,10.92,3,0.2,4.095
2025/12/1,Corporate,Inglewood,California,West,Office Supplies,Paper,8.82,2,0,4.0572
2024/10/18,Corporate,Inglewood,California,West,Office Supplies,Art,5.98,1,0,1.5548
2024/10/18,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,11.648,2,0.2,4.0768
2022/11/25,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,18.176,4,0.2,5.9072
2022/11/25,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,59.712,6,0.2,5.9712
2024/5/1,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Labels,24.84,3,0.2,8.694
2024/5/1,Consumer,Houston,Texas,Central,Office Supplies,Binders,2.08,5,0.8,-3.432
2025/9/17,Consumer,Houston,Texas,Central,Technology,Phones,1114.4,7,0.2,376.11
2025/9/17,Consumer,Los Angeles,California,West,Furniture,Tables,1038.84,5,0.2,51.942
2025/9/17,Consumer,Portland,Oregon,West,Office Supplies,Paper,141.76,5,0.2,47.844
2025/9/17,Consumer,Portland,Oregon,West,Technology,Accessories,239.8,5,0.2,47.96
2025/9/17,Consumer,Portland,Oregon,West,Office Supplies,Paper,31.104,6,0.2,10.8864
